ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,,taxonomy
4330849,Bacteria,P:SR1,P:SR1,P:SR1,P:SR1,P:SR1,P:SR1,,Bacteria; P:SR1; P:SR1; P:SR1; P:SR1; P:SR1; P:SR1
32546,Bacteria,P:Proteobacteria,C:Epsilonproteobacteria,O:Campylobacterales,F:Campylobacteraceae,Campylobacter,Campylobacter,,Bacteria; P:Proteobacteria; C:Epsilonproteobacteria; O:Campylobacterales; F:Campylobacteraceae; Campylobacter; Campylobacter
253584,Bacteria,P:Proteobacteria,C:Epsilonproteobacteria,O:Campylobacterales,F:Campylobacteraceae,Campylobacter,Campylobacter,,Bacteria; P:Proteobacteria; C:Epsilonproteobacteria; O:Campylobacterales; F:Campylobacteraceae; Campylobacter; Campylobacter
246717,Bacteria,P:Proteobacteria,C:Epsilonproteobacteria,O:Campylobacterales,F:Campylobacteraceae,Campylobacter,Campylobacter,,Bacteria; P:Proteobacteria; C:Epsilonproteobacteria; O:Campylobacterales; F:Campylobacteraceae; Campylobacter; Campylobacter
4297695,Bacteria,P:Proteobacteria,C:Epsilonproteobacteria,O:Campylobacterales,F:Campylobacteraceae,Campylobacter,Campylobacter,,Bacteria; P:Proteobacteria; C:Epsilonproteobacteria; O:Campylobacterales; F:Campylobacteraceae; Campylobacter; Campylobacter
4480882,Bacteria,P:Proteobacteria,C:Epsilonproteobacteria,O:Campylobacterales,F:Campylobacteraceae,Campylobacter,Campylobacter,,Bacteria; P:Proteobacteria; C:Epsilonproteobacteria; O:Campylobacterales; F:Campylobacteraceae; Campylobacter; Campylobacter
4455962,Bacteria,P:Proteobacteria,C:Epsilonproteobacteria,O:Campylobacterales,F:Campylobacteraceae,Arcobacter,Arcobacter,,Bacteria; P:Proteobacteria; C:Epsilonproteobacteria; O:Campylobacterales; F:Campylobacteraceae; Arcobacter; Arcobacter
128801,Bacteria,P:Proteobacteria,C:Epsilonproteobacteria,O:Campylobacterales,F:Helicobacteraceae,F:Helicobacteraceae,F:Helicobacteraceae,,Bacteria; P:Proteobacteria; C:Epsilonproteobacteria; O:Campylobacterales; F:Helicobacteraceae; F:Helicobacteraceae; F:Helicobacteraceae
4398614,Bacteria,P:Proteobacteria,C:Gammaproteobacteria,O:Xanthomonadales,F:Xanthomonadaceae,F:Xanthomonadaceae,F:Xanthomonadaceae,,Bacteria; P:Proteobacteria; C:Gammaproteobacteria; O:Xanthomonadales; F:Xanthomonadaceae; F:Xanthomonadaceae; F:Xanthomonadaceae
4457728,Bacteria,P:Proteobacteria,C:Gammaproteobacteria,O:Xanthomonadales,F:Xanthomonadaceae,Pseudoxanthomonas,Pseudoxanthomonas mexicana,,Bacteria; P:Proteobacteria; C:Gammaproteobacteria; O:Xanthomonadales; F:Xanthomonadaceae; Pseudoxanthomonas; Pseudoxanthomonas mexicana
3055791,Bacteria,P:Proteobacteria,C:Gammaproteobacteria,O:Xanthomonadales,F:Xanthomonadaceae,F:Xanthomonadaceae,F:Xanthomonadaceae,,Bacteria; P:Proteobacteria; C:Gammaproteobacteria; O:Xanthomonadales; F:Xanthomonadaceae; F:Xanthomonadaceae; F:Xanthomonadaceae
4441357,Bacteria,P:Proteobacteria,C:Gammaproteobacteria,O:Xanthomonadales,F:Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas,,Bacteria; P:Proteobacteria; C:Gammaproteobacteria; O:Xanthomonadales; F:Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas
1139932,Bacteria,P:Proteobacteria,C:Gammaproteobacteria,O:Xanthomonadales,F:Xanthomonadaceae,F:Xanthomonadaceae,F:Xanthomonadaceae,,Bacteria; P:Proteobacteria; C:Gammaproteobacteria; O:Xanthomonadales; F:Xanthomonadaceae; F:Xanthomonadaceae; F:Xanthomonadaceae
4430393,Bacteria,P:Proteobacteria,C:Gammaproteobacteria,O:Xanthomonadales,F:Xanthomonadaceae,Thermomonas,Thermomonas fusca,,Bacteria; P:Proteobacteria; C:Gammaproteobacteria; O:Xanthomonadales; F:Xanthomonadaceae; Thermomonas; Thermomonas fusca
4482862,Bacteria,P:Proteobacteria,C:Gammaproteobacteria,O:Xanthomonadales,F:Xanthomonadaceae,Thermomonas,Thermomonas fusca,,Bacteria; P:Proteobacteria; C:Gammaproteobacteria; O:Xanthomonadales; F:Xanthomonadaceae; Thermomonas; Thermomonas fusca
4464858,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,F:Comamonadaceae,Comamonas,Comamonas,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; F:Comamonadaceae; Comamonas; Comamonas
899348,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,F:Comamonadaceae,F:Comamonadaceae,F:Comamonadaceae,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; F:Comamonadaceae; F:Comamonadaceae; F:Comamonadaceae
843469,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,F:Comamonadaceae,Diaphorobacter,Diaphorobacter,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; F:Comamonadaceae; Diaphorobacter; Diaphorobacter
4483490,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,F:Comamonadaceae,F:Comamonadaceae,F:Comamonadaceae,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; F:Comamonadaceae; F:Comamonadaceae; F:Comamonadaceae
4362246,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,F:Comamonadaceae,F:Comamonadaceae,F:Comamonadaceae,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; F:Comamonadaceae; F:Comamonadaceae; F:Comamonadaceae
29704,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,F:Comamonadaceae,F:Comamonadaceae,F:Comamonadaceae,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; F:Comamonadaceae; F:Comamonadaceae; F:Comamonadaceae
239064,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,F:Comamonadaceae,F:Comamonadaceae,F:Comamonadaceae,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; F:Comamonadaceae; F:Comamonadaceae; F:Comamonadaceae
4307464,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,F:Comamonadaceae,F:Comamonadaceae,F:Comamonadaceae,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; F:Comamonadaceae; F:Comamonadaceae; F:Comamonadaceae
4421830,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,F:Comamonadaceae,F:Comamonadaceae,F:Comamonadaceae,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; F:Comamonadaceae; F:Comamonadaceae; F:Comamonadaceae
4394099,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Rhodocyclales,F:Rhodocyclaceae,Propionivibrio,Propionivibrio,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Rhodocyclales; F:Rhodocyclaceae; Propionivibrio; Propionivibrio
63117,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Neisseriales,F:Neisseriaceae,Kingella,Kingella,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Neisseriales; F:Neisseriaceae; Kingella; Kingella
978067,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Neisseriales,F:Neisseriaceae,Kingella,Kingella,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Neisseriales; F:Neisseriaceae; Kingella; Kingella
4480775,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Neisseriales,F:Neisseriaceae,Kingella,Kingella,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Neisseriales; F:Neisseriaceae; Kingella; Kingella
1020605,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Neisseriales,F:Neisseriaceae,Kingella,Kingella,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Neisseriales; F:Neisseriaceae; Kingella; Kingella
92601,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Neisseriales,F:Neisseriaceae,Kingella,Kingella,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Neisseriales; F:Neisseriaceae; Kingella; Kingella
4296513,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Neisseriales,F:Neisseriaceae,F:Neisseriaceae,F:Neisseriaceae,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Neisseriales; F:Neisseriaceae; F:Neisseriaceae; F:Neisseriaceae
4373910,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Neisseriales,F:Neisseriaceae,F:Neisseriaceae,F:Neisseriaceae,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Neisseriales; F:Neisseriaceae; F:Neisseriaceae; F:Neisseriaceae
4392888,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Neisseriales,F:Neisseriaceae,F:Neisseriaceae,F:Neisseriaceae,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Neisseriales; F:Neisseriaceae; F:Neisseriaceae; F:Neisseriaceae
4310829,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Neisseriales,F:Neisseriaceae,Neisseria,Neisseria,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Neisseriales; F:Neisseriaceae; Neisseria; Neisseria
4447416,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Neisseriales,F:Neisseriaceae,Neisseria,Neisseria,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Neisseriales; F:Neisseriaceae; Neisseria; Neisseria
1007399,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Neisseriales,F:Neisseriaceae,Neisseria,Neisseria subflava,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Neisseriales; F:Neisseriaceae; Neisseria; Neisseria subflava
4396235,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Neisseriales,F:Neisseriaceae,Neisseria,Neisseria subflava,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Neisseriales; F:Neisseriaceae; Neisseria; Neisseria subflava
4326635,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Neisseriales,F:Neisseriaceae,Neisseria,Neisseria cinerea,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Neisseriales; F:Neisseriaceae; Neisseria; Neisseria cinerea
4431355,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Neisseriales,F:Neisseriaceae,F:Neisseriaceae,F:Neisseriaceae,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Neisseriales; F:Neisseriaceae; F:Neisseriaceae; F:Neisseriaceae
4315833,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Neisseriales,F:Neisseriaceae,Eikenella,Eikenella,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Neisseriales; F:Neisseriaceae; Eikenella; Eikenella
4401186,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Neisseriales,F:Neisseriaceae,Eikenella,Eikenella,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Neisseriales; F:Neisseriaceae; Eikenella; Eikenella
87506,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Neisseriales,F:Neisseriaceae,Eikenella,Eikenella,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Neisseriales; F:Neisseriaceae; Eikenella; Eikenella
1106060,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Neisseriales,F:Neisseriaceae,F:Neisseriaceae,F:Neisseriaceae,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Neisseriales; F:Neisseriaceae; F:Neisseriaceae; F:Neisseriaceae
900973,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Neisseriales,F:Neisseriaceae,F:Neisseriaceae,F:Neisseriaceae,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Neisseriales; F:Neisseriaceae; F:Neisseriaceae; F:Neisseriaceae
3393186,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Neisseriales,F:Neisseriaceae,F:Neisseriaceae,F:Neisseriaceae,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Neisseriales; F:Neisseriaceae; F:Neisseriaceae; F:Neisseriaceae
933546,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Neisseriales,F:Neisseriaceae,F:Neisseriaceae,F:Neisseriaceae,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Neisseriales; F:Neisseriaceae; F:Neisseriaceae; F:Neisseriaceae
4450385,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,F:Burkholderiaceae,Burkholderia,Burkholderia,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; F:Burkholderiaceae; Burkholderia; Burkholderia
4474255,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,F:Alcaligenaceae,Sutterella,Sutterella,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; F:Alcaligenaceae; Sutterella; Sutterella
215097,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,F:Alcaligenaceae,Sutterella,Sutterella,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; F:Alcaligenaceae; Sutterella; Sutterella
41229,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,F:Alcaligenaceae,Sutterella,Sutterella,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; F:Alcaligenaceae; Sutterella; Sutterella
4371362,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,F:Alcaligenaceae,Sutterella,Sutterella,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; F:Alcaligenaceae; Sutterella; Sutterella
183798,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,F:Alcaligenaceae,Sutterella,Sutterella,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; F:Alcaligenaceae; Sutterella; Sutterella
4473506,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,F:Alcaligenaceae,Sutterella,Sutterella,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; F:Alcaligenaceae; Sutterella; Sutterella
4366834,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,F:Alcaligenaceae,Sutterella,Sutterella,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; F:Alcaligenaceae; Sutterella; Sutterella
651436,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,F:Oxalobacteraceae,Ralstonia,Ralstonia,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; F:Oxalobacteraceae; Ralstonia; Ralstonia
1105919,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,F:Oxalobacteraceae,Ralstonia,Ralstonia,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; F:Oxalobacteraceae; Ralstonia; Ralstonia
4476547,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,F:Oxalobacteraceae,F:Oxalobacteraceae,F:Oxalobacteraceae,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; F:Oxalobacteraceae; F:Oxalobacteraceae; F:Oxalobacteraceae
3275744,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,F:Oxalobacteraceae,Herbaspirillum,Herbaspirillum,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; F:Oxalobacteraceae; Herbaspirillum; Herbaspirillum
7366,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,F:Oxalobacteraceae,Oxalobacter,Oxalobacter formigenes,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; F:Oxalobacteraceae; Oxalobacter; Oxalobacter formigenes
4425629,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,F:Oxalobacteraceae,F:Oxalobacteraceae,F:Oxalobacteraceae,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; F:Oxalobacteraceae; F:Oxalobacteraceae; F:Oxalobacteraceae
4369229,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,O:Burkholderiales,O:Burkholderiales,O:Burkholderiales,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; O:Burkholderiales; O:Burkholderiales; O:Burkholderiales
534714,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,O:Burkholderiales,O:Burkholderiales,O:Burkholderiales,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; O:Burkholderiales; O:Burkholderiales; O:Burkholderiales
4451045,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,F:Alcaligenaceae,Achromobacter,Achromobacter,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; F:Alcaligenaceae; Achromobacter; Achromobacter
70363,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,F:Alcaligenaceae,Oligella,Oligella,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; F:Alcaligenaceae; Oligella; Oligella
160609,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,F:Alcaligenaceae,F:Alcaligenaceae,F:Alcaligenaceae,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; F:Alcaligenaceae; F:Alcaligenaceae; F:Alcaligenaceae
4315538,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,F:Burkholderiaceae,Lautropia,Lautropia,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; F:Burkholderiaceae; Lautropia; Lautropia
4426982,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,F:Burkholderiaceae,Lautropia,Lautropia,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; F:Burkholderiaceae; Lautropia; Lautropia
4472294,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,F:Burkholderiaceae,Lautropia,Lautropia,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; F:Burkholderiaceae; Lautropia; Lautropia
833564,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Methylophilales,F:Methylophilaceae,F:Methylophilaceae,F:Methylophilaceae,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Methylophilales; F:Methylophilaceae; F:Methylophilaceae; F:Methylophilaceae
4400476,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,F:Comamonadaceae,Roseateles,Roseateles depolymerans,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; F:Comamonadaceae; Roseateles; Roseateles depolymerans
4452118,Bacteria,P:Proteobacteria,C:Betaproteobacteria,O:Burkholderiales,F:Comamonadaceae,Leptothrix,Leptothrix,,Bacteria; P:Proteobacteria; C:Betaproteobacteria; O:Burkholderiales; F:Comamonadaceae; Leptothrix; Leptothrix
1142199,Bacteria,P:Proteobacteria,C:Gammaproteobacteria,O:Xanthomonadales,F:Xanthomonadaceae,Ignatzschineria,Ignatzschineria,,Bacteria; P:Proteobacteria; C:Gammaproteobacteria; O:Xanthomonadales; F:Xanthomonadaceae; Ignatzschineria; Ignatzschineria
4455861,Bacteria,P:Proteobacteria,C:Gammaproteobacteria,O:Pseudomonadales,F:Pseudomonadaceae,Pseudomonas,Pseudomonas,,Bacteria; P:Proteobacteria; C:Gammaproteobacteria; O:Pseudomonadales; F:Pseudomonadaceae; Pseudomonas; Pseudomonas
3290367,Bacteria,P:Proteobacteria,C:Gammaproteobacteria,O:Pseudomonadales,F:Pseudomonadaceae,Pseudomonas,Pseudomonas,,Bacteria; P:Proteobacteria; C:Gammaproteobacteria; O:Pseudomonadales; F:Pseudomonadaceae; Pseudomonas; Pseudomonas
4451011,Bacteria,P:Proteobacteria,C:Gammaproteobacteria,O:Pseudomonadales,F:Pseudomonadaceae,Pseudomonas,Pseudomonas,,Bacteria; P:Proteobacteria; C:Gammaproteobacteria; O:Pseudomonadales; F:Pseudomonadaceae; Pseudomonas; Pseudomonas
65400,Bacteria,P:Proteobacteria,C:Gammaproteobacteria,O:Pseudomonadales,F:Pseudomonadaceae,Pseudomonas,Pseudomonas viridiflava,,Bacteria; P:Proteobacteria; C:Gammaproteobacteria; O:Pseudomonadales; F:Pseudomonadaceae; Pseudomonas; Pseudomonas viridiflava
3544894,Bacteria,P:Proteobacteria,C:Gammaproteobacteria,O:Pseudomonadales,F:Pseudomonadaceae,Pseudomonas,Pseudomonas,,Bacteria; P:Proteobacteria; C:Gammaproteobacteria; O:Pseudomonadales; F:Pseudomonadaceae; Pseudomonas; Pseudomonas
4327501,Bacteria,P:Proteobacteria,C:Gammaproteobacteria,O:Pseudomonadales,F:Pseudomonadaceae,Pseudomonas,Pseudomonas,,Bacteria; P:Proteobacteria; C:Gammaproteobacteria; O:Pseudomonadales; F:Pseudomonadaceae; Pseudomonas; Pseudomonas
4318122,Bacteria,P:Proteobacteria,C:Gammaproteobacteria,O:Pasteurellales,F:Pasteurellaceae,Actinobacillus,Actinobacillus parahaemolyticus,,Bacteria; P:Proteobacteria; C:Gammaproteobacteria; O:Pasteurellales; F:Pasteurellaceae; Actinobacillus; Actinobacillus parahaemolyticus
